label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41
open_palm,0.0,0.0,-0.23112,-0.020593,-0.435321,-0.228586,-0.564431,-0.438865,-0.694927,-0.526568,-0.333619,-0.871716,-0.425161,-1.222997,-0.477492,-1.4489,-0.516519,-1.648137,-0.187227,-0.97699,-0.232526,-1.416452,-0.260886,-1.699524,-0.280752,-1.936311,-0.043411,-0.962507,-0.039341,-1.373562,-0.045261,-1.629671,-0.052877,-1.852528,0.098629,-0.853191,0.189009,-1.109985,0.242422,-1.281986,0.284812,-1.446316
open_palm,0.0,0.0,-0.232175,-0.017581,-0.435207,-0.223478,-0.56008,-0.430402,-0.686632,-0.518636,-0.335216,-0.869545,-0.425179,-1.213216,-0.474938,-1.433053,-0.51244,-1.630318,-0.188568,-0.977111,-0.232886,-1.408158,-0.260504,-1.687323,-0.279938,-1.927284,-0.044746,-0.964514,-0.041273,-1.367193,-0.044773,-1.618131,-0.050257,-1.839766,0.09636,-0.854595,0.184949,-1.104726,0.239459,-1.264622,0.283163,-1.41846
open_palm,0.0,0.0,-0.233511,-0.016297,-0.444519,-0.212602,-0.570268,-0.40852,-0.693038,-0.486268,-0.340869,-0.865564,-0.434347,-1.212954,-0.486036,-1.436584,-0.525254,-1.636528,-0.19205,-0.97575,-0.236247,-1.406818,-0.269444,-1.68243,-0.296312,-1.920641,-0.045289,-0.964693,-0.040672,-1.372314,-0.044566,-1.621864,-0.05171,-1.843825,0.098373,-0.855353,0.187482,-1.111878,0.242742,-1.271669,0.287955,-1.425564
open_palm,0.0,0.0,-0.236864,-0.020655,-0.450722,-0.207879,-0.578157,-0.395213,-0.697838,-0.476606,-0.354728,-0.858362,-0.451084,-1.201667,-0.504089,-1.427928,-0.544632,-1.628332,-0.204786,-0.97299,-0.251936,-1.407039,-0.288148,-1.682737,-0.316556,-1.91972,-0.057166,-0.965585,-0.056004,-1.373773,-0.066647,-1.629114,-0.078384,-1.852686,0.087659,-0.85579,0.172068,-1.107778,0.224447,-1.270409,0.269083,-1.422927
open_palm,0.0,0.0,-0.232858,-0.012899,-0.450777,-0.197761,-0.591181,-0.378849,-0.717783,-0.439812,-0.35464,-0.850699,-0.456415,-1.196455,-0.514887,-1.422521,-0.558475,-1.623093,-0.206092,-0.972312,-0.251879,-1.415871,-0.290017,-1.692847,-0.319896,-1.92746,-0.058658,-0.97245,-0.056935,-1.389191,-0.068266,-1.645642,-0.079617,-1.866695,0.086125,-0.867277,0.175612,-1.115566,0.228267,-1.27946,0.272966,-1.432957
open_palm,0.0,0.0,-0.233684,-0.01732,-0.446984,-0.200703,-0.583262,-0.370991,-0.711039,-0.440687,-0.363141,-0.858266,-0.459081,-1.199263,-0.518945,-1.417062,-0.57105,-1.604717,-0.216992,-0.971198,-0.263326,-1.402295,-0.302997,-1.673275,-0.338957,-1.90478,-0.072188,-0.964855,-0.073037,-1.372546,-0.085412,-1.631004,-0.102511,-1.859161,0.070976,-0.857813,0.155791,-1.114248,0.207935,-1.28023,0.249715,-1.437659
open_palm,0.0,0.0,-0.232255,-0.012435,-0.451914,-0.18836,-0.601527,-0.358754,-0.735887,-0.429773,-0.368823,-0.853066,-0.473723,-1.198833,-0.539172,-1.419375,-0.590639,-1.611349,-0.224813,-0.969054,-0.284871,-1.409316,-0.330283,-1.688803,-0.365592,-1.92295,-0.077769,-0.968333,-0.084211,-1.384897,-0.100729,-1.64709,-0.117138,-1.872478,0.070206,-0.868725,0.156485,-1.134133,0.205576,-1.312747,0.246941,-1.478119
open_palm,0.0,0.0,-0.236924,0.002794,-0.463244,-0.177678,-0.617278,-0.354893,-0.754791,-0.428192,-0.387218,-0.836423,-0.495846,-1.178361,-0.560102,-1.398382,-0.610319,-1.593157,-0.2421,-0.96466,-0.304594,-1.411562,-0.351242,-1.691675,-0.386511,-1.929121,-0.093924,-0.968551,-0.10194,-1.400177,-0.120547,-1.669921,-0.138948,-1.907689,0.056741,-0.871584,0.139565,-1.137795,0.186726,-1.313984,0.224053,-1.481852
open_palm,0.0,0.0,-0.238781,0.003495,-0.469909,-0.162587,-0.631365,-0.323599,-0.768978,-0.396195,-0.405269,-0.829939,-0.515347,-1.162853,-0.580533,-1.369741,-0.631625,-1.552687,-0.262313,-0.959642,-0.330204,-1.409992,-0.382047,-1.690004,-0.420519,-1.921133,-0.113525,-0.966387,-0.12472,-1.400211,-0.14743,-1.664721,-0.168683,-1.894723,0.037376,-0.87142,0.124162,-1.13554,0.170915,-1.315428,0.208392,-1.489534
open_palm,0.0,0.0,-0.237309,0.012834,-0.474258,-0.148182,-0.641668,-0.308346,-0.784748,-0.373406,-0.412582,-0.821884,-0.525326,-1.151294,-0.59883,-1.357183,-0.657926,-1.537727,-0.274008,-0.956972,-0.342212,-1.396655,-0.395944,-1.66963,-0.4358,-1.89111,-0.128168,-0.971732,-0.141575,-1.408072,-0.164997,-1.664191,-0.186613,-1.88107,0.023299,-0.884956,0.111094,-1.148231,0.15825,-1.322849,0.197547,-1.484829
open_palm,0.0,0.0,-0.240728,0.020117,-0.484291,-0.139817,-0.656392,-0.293898,-0.804999,-0.344134,-0.427999,-0.823328,-0.544647,-1.158901,-0.618629,-1.366927,-0.678585,-1.550473,-0.286001,-0.95306,-0.359266,-1.406243,-0.41492,-1.686059,-0.458318,-1.914573,-0.138783,-0.962701,-0.157605,-1.407858,-0.180303,-1.676849,-0.203399,-1.90608,0.012562,-0.87391,0.095657,-1.151133,0.141644,-1.335878,0.176765,-1.506986
open_palm,0.0,0.0,-0.245174,0.016874,-0.487904,-0.13583,-0.659866,-0.282596,-0.807336,-0.330419,-0.438556,-0.813623,-0.558153,-1.148314,-0.633306,-1.364445,-0.691706,-1.555374,-0.29663,-0.949802,-0.37122,-1.39604,-0.424776,-1.687305,-0.461481,-1.930561,-0.148739,-0.963354,-0.168635,-1.393469,-0.194562,-1.659125,-0.21668,-1.887793,0.003724,-0.877621,0.082428,-1.147829,0.128256,-1.328285,0.165549,-1.498307
open_palm,0.0,0.0,-0.24066,0.011241,-0.475881,-0.139261,-0.640125,-0.28243,-0.782945,-0.339762,-0.431345,-0.81866,-0.561907,-1.149135,-0.643099,-1.361251,-0.707963,-1.546848,-0.288576,-0.951217,-0.364299,-1.38689,-0.421101,-1.665332,-0.466435,-1.894271,-0.138711,-0.962056,-0.157527,-1.38343,-0.183314,-1.640367,-0.20845,-1.863714,0.014269,-0.871015,0.088773,-1.144142,0.128004,-1.323326,0.157358,-1.492592
open_palm,0.0,0.0,-0.241059,0.019061,-0.480802,-0.125459,-0.650673,-0.27242,-0.79885,-0.329538,-0.436331,-0.809636,-0.561763,-1.13732,-0.640483,-1.345389,-0.705074,-1.531152,-0.295661,-0.949292,-0.373551,-1.389664,-0.435057,-1.671645,-0.484549,-1.903745,-0.147333,-0.965202,-0.167459,-1.398855,-0.195529,-1.664672,-0.224095,-1.89427,0.004935,-0.87948,0.082333,-1.151502,0.11935,-1.3326,0.145465,-1.503577
open_palm,0.0,0.0,-0.238452,0.021549,-0.481167,-0.127169,-0.651372,-0.280234,-0.798924,-0.325124,-0.430306,-0.810572,-0.554898,-1.136639,-0.633744,-1.3448,-0.698,-1.530776,-0.291984,-0.950664,-0.371858,-1.401551,-0.434536,-1.69006,-0.48321,-1.920266,-0.14263,-0.970088,-0.16404,-1.407169,-0.194493,-1.672066,-0.223725,-1.894172,0.012987,-0.889489,0.088007,-1.167409,0.120882,-1.351041,0.143237,-1.518126
open_palm,0.0,0.0,-0.241027,0.015469,-0.482876,-0.130593,-0.651931,-0.271378,-0.796374,-0.325043,-0.438161,-0.812468,-0.572464,-1.142343,-0.657655,-1.355464,-0.726777,-1.544649,-0.30165,-0.947997,-0.389017,-1.388022,-0.452573,-1.679808,-0.501607,-1.919888,-0.153674,-0.965522,-0.18282,-1.397622,-0.211422,-1.669148,-0.240205,-1.905281,0.001334,-0.886261,0.070235,-1.167441,0.103857,-1.358384,0.127297,-1.538691
open_palm,0.0,0.0,-0.242818,0.027098,-0.483689,-0.11421,-0.653752,-0.260748,-0.801424,-0.302128,-0.446816,-0.798376,-0.583592,-1.12608,-0.664794,-1.336262,-0.729065,-1.52377,-0.308348,-0.945427,-0.399523,-1.392583,-0.463291,-1.684118,-0.511741,-1.92141,-0.157683,-0.969514,-0.187034,-1.398591,-0.214965,-1.66711,-0.241575,-1.896885,-0.001376,-0.894756,0.065664,-1.175534,0.099942,-1.360122,0.123329,-1.533283
open_palm,0.0,0.0,-0.247118,0.032071,-0.490591,-0.10056,-0.6608,-0.239487,-0.80542,-0.289459,-0.452297,-0.802255,-0.592011,-1.130943,-0.676468,-1.340047,-0.744226,-1.527771,-0.313357,-0.943977,-0.407499,-1.381408,-0.472823,-1.665401,-0.520803,-1.901582,-0.162291,-0.96516,-0.195346,-1.404411,-0.225301,-1.673403,-0.251854,-1.905554,-0.003372,-0.887521,0.06077,-1.168331,0.09054,-1.358944,0.111236,-1.538943
open_palm,0.0,0.0,-0.247383,0.035764,-0.493841,-0.088185,-0.665304,-0.219706,-0.807605,-0.276512,-0.45598,-0.794252,-0.603395,-1.121572,-0.695275,-1.327938,-0.771101,-1.509017,-0.319046,-0.941175,-0.415773,-1.389296,-0.484504,-1.674859,-0.536644,-1.905258,-0.16837,-0.963804,-0.202415,-1.412202,-0.235542,-1.683737,-0.265742,-1.914603,-0.009549,-0.884862,0.058305,-1.168398,0.087217,-1.355432,0.106572,-1.528493
open_palm,0.0,0.0,-0.244793,0.025816,-0.482794,-0.097523,-0.647495,-0.226544,-0.786941,-0.28063,-0.448545,-0.797067,-0.595316,-1.120842,-0.687577,-1.322712,-0.763318,-1.503513,-0.315531,-0.942791,-0.415279,-1.382202,-0.487877,-1.667368,-0.543525,-1.901003,-0.168922,-0.966989,-0.201565,-1.403569,-0.23438,-1.672409,-0.264677,-1.900167,-0.013548,-0.891271,0.054266,-1.171611,0.082858,-1.35995,0.102734,-1.536147
open_palm,0.0,0.0,-0.245958,0.025638,-0.487728,-0.112142,-0.653452,-0.248411,-0.795538,-0.301237,-0.446667,-0.804032,-0.593754,-1.135277,-0.68668,-1.344034,-0.763233,-1.525799,-0.313239,-0.944259,-0.41476,-1.383304,-0.490529,-1.667652,-0.550718,-1.899598,-0.166802,-0.971495,-0.204162,-1.41011,-0.240176,-1.682212,-0.273723,-1.913687,-0.013093,-0.900887,0.051057,-1.184635,0.081227,-1.375043,0.103756,-1.553188
open_palm,0.0,0.0,-0.247583,0.034515,-0.493438,-0.107984,-0.665987,-0.253947,-0.817581,-0.293849,-0.450379,-0.786656,-0.596694,-1.114347,-0.687963,-1.324816,-0.761261,-1.514962,-0.31568,-0.943031,-0.41865,-1.38932,-0.491796,-1.681617,-0.548263,-1.924484,-0.166973,-0.978844,-0.201668,-1.421215,-0.235181,-1.693447,-0.267459,-1.927504,-0.009396,-0.914414,0.056224,-1.197539,0.086049,-1.385093,0.104762,-1.561915
open_palm,0.0,0.0,-0.245068,0.03307,-0.485648,-0.110435,-0.656118,-0.25786,-0.808061,-0.297482,-0.448636,-0.793926,-0.595287,-1.12225,-0.687139,-1.332665,-0.759916,-1.521767,-0.313469,-0.94388,-0.416325,-1.388458,-0.48987,-1.681125,-0.546903,-1.923342,-0.163978,-0.974416,-0.200543,-1.420625,-0.235204,-1.696258,-0.268638,-1.931265,-0.006253,-0.90342,0.057225,-1.191757,0.087373,-1.382317,0.107726,-1.559617
open_palm,0.0,0.0,-0.246157,0.034709,-0.489305,-0.109807,-0.662669,-0.257127,-0.813795,-0.297715,-0.453978,-0.792762,-0.598359,-1.125126,-0.691222,-1.336036,-0.76739,-1.519988,-0.319803,-0.942481,-0.423672,-1.389149,-0.498203,-1.680938,-0.557688,-1.919863,-0.170965,-0.972627,-0.203608,-1.417875,-0.235269,-1.690026,-0.268357,-1.920591,-0.01448,-0.901126,0.052641,-1.183296,0.080906,-1.369742,0.097462,-1.54424
open_palm,0.0,0.0,-0.248014,0.039993,-0.491862,-0.102307,-0.665614,-0.246146,-0.82031,-0.283802,-0.456763,-0.79008,-0.603457,-1.117378,-0.695892,-1.325506,-0.771379,-1.505287,-0.321025,-0.942244,-0.425664,-1.384598,-0.500778,-1.675148,-0.559679,-1.913589,-0.172951,-0.97402,-0.208126,-1.416671,-0.241802,-1.688453,-0.276136,-1.922355,-0.016838,-0.907316,0.046922,-1.189376,0.076637,-1.372105,0.094844,-1.544243
open_palm,0.0,0.0,-0.246107,0.03529,-0.488553,-0.106216,-0.658893,-0.24549,-0.80886,-0.287474,-0.448082,-0.794999,-0.59433,-1.120444,-0.684697,-1.327304,-0.756297,-1.509231,-0.313575,-0.944832,-0.419026,-1.386412,-0.491725,-1.677728,-0.545658,-1.919288,-0.16514,-0.976284,-0.199508,-1.422489,-0.231197,-1.698186,-0.26149,-1.934735,-0.007672,-0.90773,0.056747,-1.190369,0.084986,-1.378119,0.10301,-1.552913
open_palm,0.0,0.0,-0.25405,0.049249,-0.502581,-0.089233,-0.672908,-0.227935,-0.818507,-0.269156,-0.468929,-0.782936,-0.615048,-1.112893,-0.704263,-1.321994,-0.774845,-1.506312,-0.329925,-0.939306,-0.435991,-1.384996,-0.505233,-1.68258,-0.554885,-1.932921,-0.177852,-0.973075,-0.211987,-1.420586,-0.23992,-1.70026,-0.265817,-1.940002,-0.016985,-0.903643,0.04859,-1.183235,0.077887,-1.371472,0.098494,-1.546855
open_palm,0.0,0.0,-0.254708,0.053617,-0.4983,-0.082336,-0.664893,-0.21987,-0.812681,-0.263199,-0.46778,-0.778252,-0.608243,-1.101442,-0.695797,-1.311831,-0.765754,-1.49955,-0.327835,-0.939835,-0.429424,-1.391834,-0.49694,-1.693854,-0.546141,-1.947868,-0.174645,-0.975971,-0.205742,-1.430218,-0.235198,-1.7068,-0.262774,-1.940099,-0.01205,-0.904254,0.059762,-1.195359,0.094684,-1.379518,0.119448,-1.544391
open_palm,0.0,0.0,-0.249384,0.051699,-0.493444,-0.082186,-0.659161,-0.218825,-0.801639,-0.261815,-0.473343,-0.77632,-0.603155,-1.108305,-0.683952,-1.319495,-0.750533,-1.509163,-0.329655,-0.938058,-0.421644,-1.395382,-0.484049,-1.693225,-0.532083,-1.943213,-0.175052,-0.972367,-0.195951,-1.430694,-0.223035,-1.710039,-0.250243,-1.944732,-0.011168,-0.898251,0.063195,-1.193062,0.098629,-1.379592,0.121002,-1.545981
open_palm,0.0,0.0,-0.246565,0.052761,-0.48901,-0.080615,-0.654541,-0.209204,-0.797043,-0.236018,-0.474666,-0.776244,-0.609409,-1.114452,-0.692412,-1.327295,-0.759103,-1.51586,-0.332039,-0.937699,-0.42581,-1.396528,-0.485176,-1.691502,-0.527991,-1.938072,-0.177833,-0.967649,-0.200068,-1.435065,-0.223937,-1.712476,-0.246359,-1.946158,-0.015198,-0.887874,0.058306,-1.184288,0.098152,-1.36987,0.126244,-1.537417
open_palm,0.0,0.0,-0.24096,0.051324,-0.483259,-0.081093,-0.645842,-0.20657,-0.783218,-0.228185,-0.473983,-0.783378,-0.607694,-1.12249,-0.687673,-1.332743,-0.750965,-1.513841,-0.331488,-0.938917,-0.426219,-1.381001,-0.48602,-1.665593,-0.529514,-1.900641,-0.176192,-0.968444,-0.195402,-1.420698,-0.219025,-1.691051,-0.243834,-1.919133,-0.013909,-0.886135,0.064197,-1.176985,0.098111,-1.364008,0.118512,-1.53477
open_palm,0.0,0.0,-0.24355,0.055474,-0.478352,-0.085003,-0.633495,-0.215434,-0.770803,-0.232451,-0.471338,-0.786992,-0.60259,-1.121657,-0.684293,-1.33328,-0.749063,-1.514204,-0.330679,-0.940093,-0.42758,-1.387451,-0.49109,-1.682503,-0.535774,-1.925087,-0.177639,-0.965335,-0.202042,-1.419189,-0.224842,-1.693698,-0.246815,-1.924698,-0.017289,-0.87954,0.052502,-1.176324,0.085171,-1.367468,0.106693,-1.542066
open_palm,0.0,0.0,-0.248969,0.050589,-0.488578,-0.084103,-0.645873,-0.201426,-0.781021,-0.213746,-0.474022,-0.785367,-0.611299,-1.117551,-0.69501,-1.333701,-0.760552,-1.522115,-0.33051,-0.938831,-0.431352,-1.386364,-0.496644,-1.677358,-0.54383,-1.921927,-0.174285,-0.965604,-0.203106,-1.424502,-0.230076,-1.705124,-0.255208,-1.946871,-0.010399,-0.884217,0.059757,-1.186739,0.094975,-1.382306,0.120817,-1.563424
open_palm,0.0,0.0,-0.252219,0.041987,-0.496176,-0.092927,-0.653656,-0.19435,-0.785944,-0.20104,-0.475967,-0.792369,-0.613391,-1.125536,-0.700526,-1.341332,-0.770224,-1.527333,-0.334996,-0.936519,-0.433705,-1.392094,-0.500099,-1.690325,-0.550415,-1.939812,-0.180967,-0.954245,-0.207801,-1.422854,-0.234438,-1.702552,-0.260609,-1.943008,-0.020632,-0.862195,0.051411,-1.170054,0.088246,-1.37236,0.115277,-1.560896
open_palm,0.0,0.0,-0.25075,0.048977,-0.502382,-0.083431,-0.66495,-0.190117,-0.798733,-0.197789,-0.491055,-0.780215,-0.6341,-1.117808,-0.72133,-1.332368,-0.790578,-1.518328,-0.349213,-0.931608,-0.448212,-1.391741,-0.515247,-1.697019,-0.565601,-1.950793,-0.194945,-0.956172,-0.216084,-1.420158,-0.242321,-1.700806,-0.268168,-1.940101,-0.034415,-0.871478,0.043452,-1.17482,0.079885,-1.381592,0.104589,-1.577859
open_palm,0.0,0.0,-0.245702,0.049135,-0.491193,-0.087485,-0.652789,-0.20283,-0.788311,-0.208876,-0.480245,-0.781889,-0.630041,-1.118587,-0.718605,-1.330059,-0.788481,-1.51644,-0.337455,-0.934982,-0.441257,-1.391863,-0.506269,-1.696845,-0.55153,-1.948416,-0.183085,-0.955457,-0.2073,-1.418955,-0.232278,-1.695562,-0.255783,-1.930256,-0.023947,-0.86518,0.051862,-1.162991,0.085914,-1.363416,0.10747,-1.551939
open_palm,0.0,0.0,-0.252405,0.054967,-0.504867,-0.079945,-0.674728,-0.195965,-0.815644,-0.207724,-0.490675,-0.777984,-0.641583,-1.113632,-0.732018,-1.327115,-0.80204,-1.513121,-0.348129,-0.931384,-0.452097,-1.394734,-0.517402,-1.702943,-0.562757,-1.956319,-0.193695,-0.955894,-0.220344,-1.421884,-0.247119,-1.704808,-0.271786,-1.945706,-0.033763,-0.871299,0.036882,-1.173727,0.071032,-1.37595,0.094057,-1.566257
